_id;Focal Length;Aperture;Filtersize;Magnification;Minimal Focus;Mount;Sensor compatibility;Weight;Size;
Canon EF 24-70mm 2.8 II L USM;24-70mm;1:2.8;82mm;1:4.76;0.38m;Canon EF;APS-C/ Kleinbild;805g;88.5x113mm;
Meyer Optik Görlitz Figmentum 35mm 2.0;35mm;1:2.0;55mm;;0.25m;Nikon F;APS-C/ Kleinbild;370g;;
Olympus M.Zuiko digital ED 40-150mm 4.0-5.6 R MSC;40-150mm;1:4.0-1:5.6;58mm;1:6.25;0.90m;Micro-Four-Thirds;Four-Thirds;190g;63.5x83mm;
Sigma AF 30mm 1.4 EX DC HSM;30mm;1:1.4;62mm;1:10.40;0.40m;Nikon F;APS-C;430g;76.6x59mm;
Voigtländer Heliar 10mm 5.6;10mm;1:5.6;;;0.30m;Sony E;APS-C/ Kleinbild;371g;67.8x73.8mm;
Nikon AF-S 20mm 1.8G ED;20mm;1:1.8;77mm;;0.20m;Nikon F;APS-C/ Kleinbild;355g;;
Nikon 1 NIKKOR VR 10-100mm 4.0-5.6;10-100mm;1:4.0-1:5.6;55mm;1:8.33;0.35m;Nikon 1;Nikon CX;298g;60.5x70.5mm;
Panasonic Lumix G 14mm 2.5 ASPH;14mm;1:2.5;46mm;;0.18m;Micro-Four-Thirds;Four-Thirds;55g;;
Tokina AT-X 28-70mm 2.6-2.8;;;;;;;;;;
HandeVision Ibelux 40mm 0.85;40mm;1:0.85;67mm;1:20.00;0.75m;Sony E, Micro-Four-Thirds, Fujifilm X;APS-C;1150g;74x128mm;
Samyang 35mm T1.3 AS UMC CS;35mm;1:1.3;62mm;;0.38m;Micro-Four-Thirds;Four-Thirds;436g;73.6x73mm;
Zeiss ZE Milvus 35mm 1.4;35mm;1:1.4;72mm;1:4.60;0.30m;Canon EF;APS-C/ Kleinbild;1170g;84.8x125.6mm;
Walimex Pro 8mm 3.8 Fisheye II VDSLR;8mm;1:3.8;;;0.30m;Sony A, Samsung NX, Nikon F, Nikon 1, Micro-Four-Thirds;APS-C;410g;75x76.8mm;
Tamron AF 28-300mm 3.5-6.3 XR Di VC LD Asp IF Makro;28-300mm;1:3.5-1:6.3;67mm;1:3.00;0.49m;Nikon F;APS-C/ Kleinbild;550g;78x99mm;
Olympus M.Zuiko digital ED 12-50mm 3.5-6.3 EZ;12-50mm;1:3.5-1:6.3;52mm;1:2.78;0.20m;Micro-Four-Thirds;Four-Thirds;211g;57x83mm;
Canon EF 400mm 2.8 L IS II USM;400mm;1:2.8;52mm;1:5.88;2.70m;Canon EF;APS-C/ Kleinbild;3850g;163x343mm;
Nikon AF 85mm 1.8D;85mm;1:1.8;62mm;1:10.00;0.85m;Nikon F;APS-C/ Kleinbild;380g;71.5x58.5mm;
Nikon AF-S 18-35mm 3.5-4.5G ED;18-35mm;1:3.5-1:4.5;77mm;1:5.0;0.28m;Nikon F;APS-C/ Kleinbild;385g;83x95mm;
Sony E 55-210mm 4.5-6.3 OSS;55-210mm;1:4.5-1:6.3;49mm;1:4.44;1.00m;Sony E;APS-C;345g;63.8x108mm;
Tamron SP AF 90mm 2.8 Di VC USD Makro 1:1;90mm;1:2.8;62mm;1:1.00;0.30m;Nikon F, Canon EF;APS-C/ Kleinbild;610g;79x117.1mm;
Walimex Pro 8mm 3.1 Fisheye II VCSC;8mm;1:3.1;;;0.30m;Canon EF-M, Sony E, Samsung NX, Fujifilm X;APS-C;265g;73.6x64.4mm;
Tamron 18-200mm 3.5-6.3 Di II;18-200mm;1:3.5-1:6.3;62mm;1:4.00;0.49m;Sony A;APS-C;400g;75x96.6mm;
Zeiss ZF.2 Otus 55mm 1.4;55mm;1:1.4;77mm;1:6.80;0.50m;Nikon F;APS-C/ Kleinbild;970g;83x117.5mm;
Zeiss ZM Distagon T* 18mm 4.0;18mm;1:4.0;58mm;1:23.04;0.50m;Leica M;APS-C/ Kleinbild;320g;;
Sigma AF 70-300mm 4.0-5.6 DG APO Makro mit AF-Motor;70-300mm;1:4.0-1:5.6;58mm;1:4.10;0.95m;Nikon F;APS-C/ Kleinbild;550g;76.6x122mm;
Nikon PC 19mm 4.0E ED;19mm;1:4.0;;1:5.60;0.25m;Nikon F;APS-C/ Kleinbild;885g;89x124mm;
Tamron 18-200mm 3.5-6.3 Di III VC;18-200mm;1:3.5-1:6.3;62mm;1:3.70;0.5m;Sony E, Canon EF-M;APS-C;460g;68x96.7mm;
Walimex Pro 100mm 2.8 Makro DSLR;100mm;1:2.8;67mm;1:1.00;0.30m;Nikon F, Canon EF;APS-C/ Kleinbild;770g;72.5x149mm;
Canon EF 75-300mm 4.0-5.6 III USM;75-300mm;1:4.0-1:5.6;58mm;1:4.00;1.50m;Canon EF;APS-C/ Kleinbild;480g;71x122mm;
Samyang 16mm T2.6 VDSLR ED AS UMC;16mm;1:2.6;77mm;;0.30m;Canon EF, Sony E, Nikon F, Micro-Four-Thirds;APS-C/ Kleinbild;530g;81.7x96.1mm;
Leica Summilux-TL 18mm 2.8 ASPH;18mm;1:2.8;39mm;1:14.00;0.30m;Leica L;APS-C/ Kleinbild;80g;62x21mm;
Zeiss ZE Milvus 135mm 2.0;135mm;1:2.0;77mm;1:4.00;0.80m;Canon EF;APS-C/ Kleinbild;1120g;89.7x115mm;
Tamron SP AF 85mm 1.8 Di VC USD;85mm;1:1.8;67mm;1:7.20;0.80m;Nikon F;APS-C/ Kleinbild;700g;84.8x91.3mm;
Samyang AF 35mm 1.4 FE;35mm;1:1.4;67mm;1:5.88;0.30m;Sony E;APS-C/ Kleinbild;645g;75.9x115mm;
Leica Summarit-S 70mm 2.5 ASPH CS;70mm;1:2.5;82mm;1:4.70;0.50m;Leica S;APS-C/ Kleinbild;740g;90x93mm;
Olympus M.Zuiko digital ED 8mm 1.8 PRO Fisheye;8mm;1:1.8;;1:5.00;0.12m;Micro-Four-Thirds;Four-Thirds;315g;62x80mm;
Sigma AF 28-105mm 2.8-4.0 Asp IF;28-105mm;1:2.8-1:4.0;72mm;;0.50m;Sony A;APS-C;405g;79.5x77mm;
Voigtländer Heliar 15mm 4.5;15mm;1:4.5;58mm;;0.30m;Sony E;APS-C/ Kleinbild;294g;66.4x67.5mm;
Canon EF 16-35mm 2.8 L III USM;16-35mm;1:2.8;82mm;1:4.00;0.28m;Canon EF;APS-C/ Kleinbild;790g;88.5x127.5mm;
Kowa Prominar 8.5mm 2.8;8.5mm;1:2.8;86mm;1:12.50;0.20m;Micro-Four-Thirds;Four-Thirds;440g;71.5x86.8mm;
Zeiss ZE Distagon T* 15mm 2.8;15mm;1:2.8;95mm;1:18.18;0.25m;Canon EF;APS-C/ Kleinbild;820g;103x135mm;
Sigma AF 12-24mm 4.5-5.6 II DG HSM;12-24mm;1:4.5-1:5.6;;1:6.40;0.28m;Sony A, Canon EF, Sigma SA, Nikon F;APS-C/ Kleinbild;670g;87x120.2mm;
Nikon AF 70-300mm 4.0-5.6G;70-300mm;1:4.0-1:5.6;62mm;1:4.00;1.50m;Nikon F;APS-C/ Kleinbild;470g;74x116.5mm;
Nikon AF-S 85mm 1.8G;85mm;1:1.8;67mm;1:8.00;0.80m;Nikon F;APS-C/ Kleinbild;350g;80x73mm;
Samyang 100mm 2.8 ED UMC Makro;100mm;1:2.8;67mm;1:1.00;0.31m;Sony E, Canon EF, Samsung NX, Pentax K, Nikon F, Fujifilm X, Four-Thirds, Canon EF-M;APS-C/ Kleinbild;730g;72.5x149.1mm;
Olympus M.Zuiko digital ED 40-150mm 4.0-5.6;40-150mm;1:4.0-1:5.6;58mm;1:6.25;0.90m;Micro-Four-Thirds;Four-Thirds;;63.5x83mm;
Tamron AF 18-270mm 3.5-6.3 Di II VC PZD;18-270mm;1:3.5-1:6.3;62mm;1:3.80;0.49m;Canon EF-S, Nikon F;APS-C;450g;74.4x96.4mm;
Walimex Pro 8mm 2.8 Fisheye II;8mm;1:2.8;;;0.30m;Sony E, Samsung NX, Fujifilm X, Canon EF-M;APS-C;290g;60x65mm;
Tokina AT-X Pro 11-16mm 2.8 DX II;11-16mm;1:2.8;77mm;1:11.60;0.30m;Sony A;APS-C;550g;84x89mm;
Nikon 50mm 1.2;50mm;1:1.2;52mm;;0.50m;Nikon F;APS-C/ Kleinbild;360g;68.5x47.5mm;
Voigtländer VM Ultron 35mm 1.7;35mm;1:1.7;43mm;;0.50m;Leica M;Mittelformat;297g;53x50.6mm;
Sigma Contemporary AF 17-70mm 2.8-4.0 DC Makro HSM;17-70mm;1:2.8-1:4.0;72mm;1:2.90;0.22m;Sony A, Pentax K;APS-C;470g;79x82mm;
Leica Summarit-M 90mm 2.4;90mm;1:2.4;;;0.90m;Leica M;APS-C/ Kleinbild;346g;55x67mm;
Leica TS-APO-Elmar-S 120mm 5.6 Tilt/Shift;120mm;1:5.6;95mm;1:5.30;0.92m;Leica S;APS-C/ Kleinbild;1110g;108x144mm;
Sigma AF 10-20mm 3.5 EX DC HSM;10-20mm;1:3.5;82mm;1:6.60;0.24m;Nikon F, Sony A, Sigma SA;APS-C;520g;87.3x88.2mm;
Sony FE 50mm 2.8 Makro;50mm;1:2.8;55mm;1:1.00;0.16m;Sony E;APS-C/ Kleinbild;236g;70.8x71mm;
Pentax HD DA 20-40mm 2.8-4.0 ED DC WR Limited;20-40mm;1:2.8-1:4.0;55mm;1:5.00;0.28m;Pentax K;APS-C;283g;71x68.5mm;
Samyang 7.5mm 3.5 Fisheye;7.5mm;1:3.5;;;0.09m;Micro-Four-Thirds;Four-Thirds;197g;60x48.3mm;
Zeiss ZF.2 Milvus 18mm 2.8;18mm;1:2.8;77mm;1:7.40;0.25m;Nikon F;APS-C/ Kleinbild;675g;90x92mm;
Canon EF 8-15mm 4.0 L Fisheye;8-15mm;1:4.0;;1:2.94;0.15m;Canon EF;APS-C/ Kleinbild;540g;78.5x83mm;
Walimex Pro 100mm 2.8 Makro CSC;100mm;1:2.8;67mm;1:1.00;0.30m;Micro-Four-Thirds, Fujifilm X, Sony E, Samsung NX, Canon EF-M;Four-Thirds;770g;72.5x149mm;
Nikon AF-S 24-70mm 2.8G ED;24-70mm;1:2.8;77mm;1:3.70;0.38m;Nikon F;APS-C/ Kleinbild;900g;83x133mm;
Walimex Pro 8mm 2.8 Fisheye I CSC;8mm;1:2.8;;;0.30m;Samsung NX;APS-C;210g;60x48.3mm;
Walimex Pro 14mm 3.1 VCSC;14mm;1:3.1;;;0.28m;Canon EF-M;APS-C;690g;87x122mm;
Walimex Pro 650-1300mm 8.0-16.0;650-1300mm;1:8.0-1:16.0;95mm;;5.00m;Sony E, Canon EF-M, Nikon F;APS-C;2000g;105x463mm;
Sony E 16-70mm 4.0 ZA OSS;16-70mm;1:4.0;55mm;1:4.35;0.35m;Sony E;APS-C;308g;66.6x75mm;
Zeiss ZM Tele-Tessar T* 85mm 4.0;85mm;1:4.0;43mm;;0.90m;Leica M;APS-C/ Kleinbild;310g;;
Olympus M.Zuiko digital ED 300mm 4.0 IS PRO;300mm;1:4.0;77mm;1:2.08;1.40m;Micro-Four-Thirds;Four-Thirds;1270g;92.5x227mm;
Canon EF 24mm 2.8 IS USM;24mm;1:2.8;58mm;1:4.35;0.20m;Canon EF;APS-C/ Kleinbild;280g;68.4x55.7mm;
Nikon AF-S 28mm 1.8G;28mm;1:1.8;67mm;1:4.55;0.25m;Nikon F;APS-C/ Kleinbild;330g;73x80.5mm;
Sony FE 55mm 1.8 ZA;55mm;1:1.8;49mm;1:7.14;0.50m;Sony E;APS-C/ Kleinbild;281g;64.4x70.5mm;
Samyang 14mm T3.1 AS IF UMC II VDSLR;14mm;1:3.1;;;0.28m;Fujifilm X, Canon EF;APS-C;695g;87x122.2mm;
Sigma AF 10-20mm 4.0-5.6 EX DC HSM;10-20mm;1:4.0-1:5.6;77mm;1:6.70;0.24m;Nikon F;APS-C;470g;83.5x81mm;
Olympus M.Zuiko digital 25mm 1.8;25mm;1:1.8;46mm;1:4.17;0.25m;Micro-Four-Thirds;Four-Thirds;137g;58x42mm;
Leica Summicron-M 35mm 2.0 ASPH;35mm;1:2.0;39mm;1:17.40;0.70m;Leica M;APS-C/ Kleinbild;252g;53x35.7mm;
Fujifilm XF 50mm 2.0 R WR;50mm;;46mm;1:6.67;0.39m;Fujifilm X;APS-C;200g;60x59.4mm;
Canon MP-E 65mm 2.8 1-5x Makro;65mm;1:2.8;58mm;1:0.20;0.24m;Canon EF;APS-C/ Kleinbild;730g;81x98mm;
Pentax smc FA 31mm 1.8 AL Limited;31mm;1:1.8;58mm;1:6.25;0.30m;Pentax K;APS-C/ Kleinbild;345g;65x68.5mm;
Tamron 14-150mm 3.5-5.8 Di III;14-150mm;1:3.5-1:5.8;52mm;1:3.80;0.5m;Micro-Four-Thirds;Four-Thirds;280g;63x85.2mm;
Dörr 7.5mm 8.0 Fisheye;7.5mm;1:8.0;;;0.30m;Nikon 1;APS-C;220g;65x57mm;
Zeiss ZM Biogon T* 21mm 4.5;21mm;1:4.5;46mm;1:20.00;0.50m;Leica M;APS-C/ Kleinbild;190g;;
Canon EF 70-200mm 4.0 L USM;70-200mm;1:4.0;67mm;1:4.76;1.20m;Canon EF;APS-C/ Kleinbild;705g;76x172mm;
Voigtländer SL II Nokton N 58mm 1.4;58mm;1:1.4;58mm;;0.45m;Nikon F;APS-C/ Kleinbild;320g;64.4x47.5mm;
SainSonic Kamlan 50mm 1.1;50mm;1:1.1;52mm;;0.50m;Sony E;APS-C;248g;60x60mm;
Walimex Pro 35mm 1.5 VDSLR;35mm;1:1.5;77mm;;0.30m;Micro-Four-Thirds, Sony E, Sony A, Pentax K, Nikon F, Fujifilm X, Canon EF;Four-Thirds;718g;83x116.8mm;
Samyang 24mm 1.4 ED AS UMC;24mm;1:1.4;77mm;;0.25m;Sony E, Nikon F, Canon EF, Sony A, Samsung NX, Pentax K, Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C;580g;83x95mm;
Walimex Pro 85mm 1.4 IF;85mm;1:1.4;72mm;;1.00m;Sony A, Four-Thirds, Pentax K, Nikon F, Micro-Four-Thirds, Canon EF;APS-C;530g;78x74.2mm;
Sigma Art AF 24-105mm 4.0 DG HSM;24-105mm;1:4.0;82mm;1:4.60;0.45m;Sony A;APS-C/ Kleinbild;885g;88.6x109.4mm;
Zeiss ZF.2 Planar T* 50mm 1.4;50mm;1:1.4;58mm;;0.45m;Nikon F;APS-C/ Kleinbild;350g;66x69mm;
Samyang 14mm 2.8 Asph IF ED MC;14mm;1:2.8;;;0.28m;Nikon F;APS-C/ Kleinbild ;;;
Voigtländer SL II Nokton S 58mm 1.4;58mm;1:1.4;52mm;;0.45m;Nikon F;APS-C/ Kleinbild;320g;67.6x45.5mm;
Nikon AF-S VR 70-200mm 2.8G ED II;70-200mm;1:2.8;77mm;;1.40m;Nikon F;APS-C/ Kleinbild;1540g;87x209mm;
Zeiss ZF.2 Distagon T* 35mm 1.4;35mm;1:1.4;72mm;1:5.00;0.30m;Nikon F;APS-C/ Kleinbild;830g;72.7x120mm;
Meike 6.5mm 2.0 Fisheye;6.5mm;1:2.0;;;;Micro-Four-Thirds, Sony E;APS-C;300g;61x51.5mm;
Zeiss ZE Makro-Planar T* 100mm 2.0;100mm;1:2.0;67mm;1:2.00;0.44m;Canon EF;APS-C/ Kleinbild;680g;76x89mm;
Nikon PC-E 85mm 2.8D ED Tilt/Shift;85mm;1:2.8;77mm;1:2.00;0.39m;Nikon F;APS-C/ Kleinbild;650g;82.7x107mm;
Meyer Optik Görlitz Nocturnus 35mm 0.95;35mm;1:0.95;;;0.30m;Fujifilm X;APS-C;680g;;
Sigma Art AF 85mm 1.4 DG HSM;85mm;1:1.4;86mm;1:8.50;0.85m;Nikon F;APS-C/ Kleinbild;1130g;94.7x126.2mm;
Canon EF-M 55-200mm 4.5-6.3 IS STM;55-200mm;1:4.5-1:6.3;52mm;1:4.76;1.00m;Canon EF-M;APS-C;260g;60.9x86.5mm;
Nikon 1 NIKKOR VR 10-100mm 4.5-5.6 PD-Zoom;10-100mm;1:4.5-1:5.6;72mm;1:4.80;0.30m;Nikon 1;Nikon CX;530g;77x95mm;
Meike 12mm 2.8;12mm;1:2.8;72mm;1:8.13;0.10m;Sony A, Fujifilm X;APS-C;360g;78x65.8mm;
Voking 25mm 0.95;25mm;1:0.95;55mm;;0.17m;Sony E, Nikon 1, Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C;540g;64x101mm;
Olympus Zuiko digital ED 7-14mm 4.0;7-14mm;1:4.0;;1:9.09;0.25m;Four-Thirds;Four-Thirds;780g;86.5x119.5mm;
Sony E 28-135mm 4.0 G PZ OSS;28-135mm;1:4.0;95mm;1:6.67;0.40m;Sony E;APS-C/ Kleinbild;1120g;105x162.5mm;
Tokina AT-X 10-17mm 3.5-4.5 AF DX NH Fisheye;10-17mm;1:3.5-1:4.5;;1:2.56;0.14m;Canon EF-S;APS-C/ Kleinbild;350g;69.9x70.9mm;
Canon EF 400mm 5.6 L USM;400mm;1:5.6;77mm;1:8.33;3.50m;Canon EF;APS-C/ Kleinbild;1250g;90x256.5mm;
Samyang 85mm T1.5 AS IF UMC VDSLR;85mm;1:1.5;;;1.00m;Nikon F, Sony E, Canon EF;APS-C/ Kleinbild;577g;78x75mm;
Samyang XEEN 24mm T1.5;24mm;1:1.5;;;0.25m;Sony E, PL, Nikon F, Micro-Four-Thirds, Canon EF;APS-C/ Kleinbild;1190g;117.6x147.7mm;
Tokina AT-X 16.5-135mm 3.5-5.6 DX;16.5-135mm;1:3.5-1:5.6;77mm;1:5.43;0.50m;Nikon F, Canon EF-S;APS-C;610g;84x78mm;
Canon EF-S 18-135mm 3.5-5.6 IS USM;18-135mm;1:3.5-1:5.6;67mm;1:3.57;0.39m;Canon EF-S;APS-C;515g;77.4x96mm;
Walimex Pro 12mm 2.8 Fisheye CSC;12mm;1:2.8;;;0.20m;Sony E, Fujifilm X;APS-C/ Kleinbild;528g;77.3x98mm;
Pentax smc FA 645 150mm 2.8;150mm;1:2.8;67mm;;1.20m;Pentax 645;APS-C/ Kleinbild;500g;74.5x96mm;
Nikon AF-S DX 18-55mm 3.5-5.6G ED II;18-55mm;1:3.5-1:5.6;52mm;1:3.23;0.28m;Nikon F;APS-C;205g;70.5x74mm;
Tamron AF 18-200mm 3.5-6.3 XR Di II LD Asp IF Makro mit AF-Motor;18-200mm;1:3.5-1:6.3;62mm;1:3.70;0.45m;Nikon F;APS-C;398g;73.8x83.7mm;
Zeiss ZF.2 Milvus 21mm 2.8;21mm;1:2.8;82mm;1:5.00;0.22m;Nikon F;APS-C/ Kleinbild;735g;95.3x92.5mm;
Panasonic Lumix G X Vario 35-100mm 2.8 II OIS;35-100mm;1:2.8;58mm;1:10.00;0.85m;Micro-Four-Thirds;Four-Thirds;357g;67.4x99.9mm;
Canon EF 24-105mm 4.0 L IS II USM;24-105mm;1:4.0;77mm;1:4.17;0.45m;Canon EF;APS-C/ Kleinbild;795g;83.5x118mm;
Voking 35mm 1.7;35mm;1:1.7;49mm;;0.30m;Sony E, Micro-Four-Thirds, Fujifilm X, Nikon 1, Canon EF-M;APS-C;176g;60.5x41mm;
Fujifilm XF 18-55mm 2.8-4.0 R LM OIS;18-55mm;1:2.8-1:4.0;58mm;1:6.67;0.30m;Fujifilm X;APS-C;310g;65x70.4mm;
Sigma AF 4.5mm 2.8 EX DC Zirkular Fisheye;4.5mm;1:2.8;;1:6.00;0.14m;Sony A;APS-C;470g;76.2x77.8mm;
Voigtländer Classic Collection Ultron 28mm 2.0;28mm;1:2.0;46mm;;0.70m;Leica M;Mittelformat;244g;55x51.2mm;
Walimex Pro 10mm 2.8;10mm;1:2.8;;;0.24m;Samsung NX, Fujifilm X, Four-Thirds, Canon EF, Sony A;APS-C;625g;87x132mm;
Nikon AF-S VR DX 16-80mm 2.8-4.0E ED;16-80mm;1:2.8-1:4.0;72mm;1:4.50;0.35m;Nikon F;APS-C;480g;80x85.5mm;
Tamron SP AF 70-200mm 2.8 Di VC USD;70-200mm;1:2.8;77mm;1:8.00;1.30m;Nikon F;APS-C/ Kleinbild;1470g;85.8x188.3mm;
Walimex Pro 85mm 1.4 CSC;85mm;1:1.4;72mm;;1.00m;Sony E;APS-C/ Kleinbild;570g;78x100.7mm;
Sigma AF 8-16mm 4.5-5.6 DC HSM;8-16mm;1:4.5-1:5.6;;1:7.80;0.24m;Nikon F, Canon EF-S, Sony A, Sigma SA, Pentax K;APS-C;545g;75x105.7mm;
Sigma Sports AF 150-600mm 5.0-6.3 DG OS HSM inkl. 1.4x Telekonverter;150-600mm;1:5.0-1:6.3;105mm;1:5.00;2.60m;Nikon F, Canon EF, Sigma SA;APS-C/ Kleinbild;2860g;121x290.2mm;
Walimex Pro 135mm T2.2 VDSLR;135mm;1:2.2;77mm;;0.80m;Sony A, Samsung NX, Nikon F, Micro-Four-Thirds, Canon EF;APS-C/ Kleinbild;886g;82x120mm;
Nikon AF-S 50mm 1.4G;50mm;1:1.4;58mm;1:6.7;0.45m;Nikon F;APS-C/ Kleinbild;280g;73.5x54mm;
Zeiss Batis 85mm 1.8;85mm;1:1.8;67mm;1:7.90;0.80m;Sony E;APS-C/ Kleinbild;475g;78x92mm;
Tamron SP AF 150-600mm 5.0-6.3 Di VC USD G2;150-600mm;1:5.0-1:6.3;95mm;1:3.90;2.20m;Canon EF, Nikon F;APS-C/ Kleinbild;2009g;108.4x260.2mm;
Zeiss ZM Biogon T* 35mm 2.0;35mm;1:2.0;43mm;1:18.02;0.70m;Leica M;APS-C/ Kleinbild;240g;;
Zeiss ZE Milvus 50mm 1.4;50mm;1:1.4;67mm;1:6.70;0.45m;Canon EF;APS-C/ Kleinbild;922g;82.5x97.5mm;
Walimex Pro 50mm 1.5 VCSC;50mm;1:1.5;77mm;;0.45m;Micro-Four-Thirds, Samsung NX, Fujifilm X;Four-Thirds;590g;82x99.5mm;
Nikon 1 NIKKOR 10mm 2.8;10mm;1:2.8;40.5mm;1:16.67;0.20m;Nikon 1;Nikon CX;77g;55.5x22mm;
Sigma Contemporary AF 16mm 1.4 DC DN;16mm;1:1.4;67mm;1:9.90;0.25m;Sony E;APS-C;405g;72.2x92.3mm;
Sigma Sports AF 150-600mm 5.0-6.3 DG OS HSM;150-600mm;1:5.0-1:6.3;105mm;1:5.00;2.60m;Nikon F, Sigma SA;APS-C/ Kleinbild;2860g;121x290.2mm;
Leica APO-Elmarit-SL 90-280mm 2.8-4.0 ASPH;90-280mm;1:2.8-1:4.0;82mm;1:4.80;0.60m;Leica L;APS-C/ Kleinbild;1710g;88x238mm;
Panasonic/Leica DG Vario Elmarit 12-60mm 2.8-4.0 ASPH;12-60mm;1:2.8-1:4.0;62mm;1:2.00;0.20m;Micro-Four-Thirds;Four-Thirds;320g;68.4x86mm;
Tokina AT-X Pro 14-20mm 2.0 DX;14-20mm;1:2.0;82mm;1:8.36;0.28m;Nikon F;APS-C;725g;89x106mm;
Sigma Art AF 24mm 1.4 DG HSM;24mm;1:1.4;77mm;1:5.30;0.25m;Canon EF;APS-C/ Kleinbild;665g;85x90.2mm;
Samyang 8mm 3.5 UMC Fisheye CS II;8mm;1:3.5;;;0.30m;Sony E, Canon EF, Fujifilm X;APS-C;450g;77.8x101.1mm;
Walimex Pro 10mm 3.1 VCSC;10mm;1:3.1;;;0.24m;Sony E, Samsung NX, Pentax K, Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C;630g;87x130.9mm;
Canon EF 300mm 2.8 L IS II USM;300mm;1:2.8;52mm;1:5.56;2.00m;Canon EF;APS-C/ Kleinbild;2400g;128x248mm;
Sigma AF 50-500mm 4.5-6.3 DG APO OS HSM;50-500mm;1:4.5-1:6.3;95mm;1:3.10;0.50m;Nikon F, Sony A, Canon EF, Sigma SA;APS-C/ Kleinbild;1970g;104.4x219mm;
Kowa Prominar 25mm 1.8;25mm;1:1.8;55mm;1:6.50;0.25m;Micro-Four-Thirds;Four-Thirds;400g;60x94mm;
Leica Vario-Elmar-S 30-90mm 3.5-5.6;30-90mm;1:3.5-1:5.6;95mm;1:6.50;0.65m;Leica S;APS-C/ Kleinbild;1270g;101x114mm;
Walimex Pro 300mm 6.3 DSLR Reflex;300mm;1:6.3;;;0.90m;Sony A, Nikon F, Canon EF;APS-C;270g;64.5x76.1mm;
Zeiss Touit 12mm 2.8;12mm;1:2.8;67mm;1:9.00;0.18m;Fujifilm X, Sony E;APS-C;270g;88x68mm;
Nikon MF 28mm 2.8;28mm;1:2.8;52mm;;0.20m;Nikon F;APS-C/ Kleinbild;250g;63x44.5mm;
Voigtländer Classic Collection Color Skopar Pancake II 21mm 4.0;21mm;1:4.0;;;0.50m;Leica M;Mittelformat;136g;55x25.4mm;
Nikon AF-S 105mm 1.4E ED;105mm;1:1.4;82mm;1:7.70;1.00m;Nikon F;APS-C/ Kleinbild;985g;94.5x106mm;
Samyang 16mm 2.0 ED AS UMC CS;16mm;1:2.0;77mm;;0.20m;Canon EF, Sony E, Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C;583g;83x89.4mm;
Zeiss ZE Milvus 85mm 1.4;85mm;1:1.4;77mm;1:8.30;0.80m;Canon EF;APS-C/ Kleinbild;1280g;90x113mm;
Sigma Art AF 18-35mm 1.8 DC HSM IF;18-35mm;1:1.8;72mm;1:4.30;0.28m;Sony A, Pentax K, Sigma SA;APS-C;810g;78x121mm;
Sony FE 28mm 2.0;28mm;1:2.0;49mm;1:7.69;0.29m;Sony E;APS-C/ Kleinbild;200g;64x60mm;
Sigma AF 300mm 2.8 EX DG APO IF;300mm;1:2.8;46mm;1:7.50;2.50m;Pentax K;APS-C/ Kleinbild;2400g;119x214.5mm;
Samyang 35mm 1.2 ED AS UMC CS;35mm;1:1.2;62mm;;0.38m;Sony E, Micro-Four-Thirds, Fujifilm X;APS-C;420g;67.5x74.2mm;
Olympus M.Zuiko digital ED 30mm 3.5 Macro;30mm;1:3.5;46mm;1:0.80;0.10m;Micro-Four-Thirds;Four-Thirds;128g;57x60mm;
Canon Objektiv CN-E 35mm T1.5 L F;35mm;1:1.5;;;;Canon EF;APS-C/ Kleinbild;;;
Panasonic/Leica DG Vario Elmarit 8-18mm 2.8-4.0 ASPH;8-18mm;1:2.8-1:4.0;67mm;1:8.30;0.23m;Micro-Four-Thirds;Four-Thirds;315g;73.4x88mm;
Tamron SP AF 15-30mm 2.8 Di USD;15-30mm;1:2.8;;1:5.00;0.28m;Sony A;APS-C/ Kleinbild;1100g;98.4x145mm;
Leica Summicron-T 23mm 2.0 ASPH;23mm;1:2.0;52mm;1:12.60;0.30m;Leica T;APS-C;154g;63x37mm;
Nikon AF-S VR 600mm 4.0E FL ED;600mm;1:4.0;40.5mm;1:7.10;4.40m;Nikon F;APS-C/ Kleinbild;3810g;166x432mm;
Canon EF 500mm 4.0 L IS II USM;500mm;1:4.0;52mm;1:6.67;3.70m;Canon EF;APS-C/ Kleinbild;3190g;146x383mm;
Sony 18-55mm 3.5-5.6 DT SAM;18-55mm;1:3.5-1:5.6;55mm;1:2.94;0.25m;Sony A;APS-C;210g;69.5x69mm;
Walimex Pro 16mm 2.0;16mm;1:2.0;77mm;;0.20m;Canon EF, Nikon F, Sony E, Pentax K, Micro-Four-Thirds, Fujifilm X;APS-C;583g;83x89mm;
Olympus M.Zuiko digital 14-42mm 3.5-5.6 II;14-42mm;1:3.5-1:5.6;37mm;1:5.26;0.25m;Micro-Four-Thirds;Four-Thirds;112g;56.5x50mm;
Pentax HD DFA* 70-200mm 2.8 ED DC AW;70-200mm;1:2.8;77mm;1:7.69;2.00m;Pentax K;APS-C/ Kleinbild;1760g;91.5x203mm;
