_id;Focal Length;Aperture;Filtersize;Magnification;Minimal Focus;Mount;Sensor compatibility;Weight;Size;
Pentax Q 05 Toy Lens Telephoto 18mm 8.0;18mm;1:8.0;;1:12.50;0.27m;Pentax Q;Pentax Q;18g;40.6x19.5mm;
Walimex Pro 35mm 1.5 VCSC;35mm;1:1.5;77mm;;0.30m;Samsung NX;APS-C;722g;83x130mm;
Sigma AF 17-50mm 2.8 EX DC OS HSM;17-50mm;1:2.8;77mm;1:5.00;0.28m;Canon EF-S, Nikon F, Sony A, Pentax K, Sigma SA;APS-C;565g;83.5x91.8mm;
Dörr Danubia 900mm 8.0 T2;900mm;1:8.0;105mm;;;T2;;795g;110x135mm;
Tamron SP AF 90mm 2.8 Di Makro 1:1;90mm;1:2.8;55mm;1:1.00;0.29m;Pentax K, Sony A, Nikon F;APS-C/ Kleinbild;405g;71.5x97mm;
Zeiss ZE Milvus 25mm 1.4;25mm;1:1.4;82mm;1:4.60;0.25m;Canon EF;APS-C/ Kleinbild;1230g;95.2x122.5mm;
Nikon 1 NIKKOR VR 6.7-13mm 3.5-5.6;6.7-13mm;1:3.5-1:5.6;52mm;1:16.66;0.25m;Nikon 1;Nikon CX;125g;56.5x46mm;
Zeiss Touit 32mm 1.8;32mm;1:1.8;52mm;1:9.00;0.37m;Fujifilm X, Sony E;APS-C;210g;65x58mm;
Zeiss ZF.2 Distagon T* 18mm 3.5;18mm;1:3.5;82mm;1:12.05;0.30m;Nikon F;APS-C/ Kleinbild;470g;87x84mm;
Samyang 16mm T2.2 VDSLR ED AS UMC CS II;16mm;1:2.2;77mm;;0.20m;Sony E, Sony A, Samsung NX, Nikon F, Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C;620g;83x115.4mm;
Meike 50mm 2.0;50mm;1:2.0;49mm;1:12.50;;Canon EF-M, Sony E;APS-C;188g;60.5x41mm;
Zeiss ZE Milvus 35mm 2.0;35mm;1:2.0;58mm;1:5.30;0.30m;Canon EF;APS-C/ Kleinbild;702g;77x83mm;
